cust_no,prev_count_C,prev_count_D,prev_count_N,prev_count_P,prev_count_A,prev_count_C_neg,prev_count_D_neg,prev_count_N_neg,prev_count_P_neg,prev_count_A_neg,event_level_B,event_level_A,event_level_C,event_term,event_rate,event_amt,prod_id,prod_cat,is_success,A,B,D,event_type,event_level
B5D2BE13D94CE2A3250D7E42EEA4AD96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,A0001,A,0,0,0,1,D,A
4440D3FE1F1F9E7B8F552144D1AFA9EF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,A0001,A,0,0,0,1,D,A
1C7584EE0D2B7D6910AD36272729C915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,A0001,A,0,0,0,1,D,A
1C7584EE0D2B7D6910AD36272729C915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,A0001,A,0,0,0,1,D,A
8C5DA80F3FA00022861CC4043043B6CF,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,A0001,A,0,0,0,1,D,A
E0863A5B8765FB921E00879A11D4DF39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,A0001,A,0,0,0,1,D,A
699488B64408DB753193A43FD5A86860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,A0001,A,0,0,0,1,D,A
93883B8453DCA088DD82D3528EAEFE86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,A0001,A,0,0,0,1,D,A
A1EF02C9A7C415E069EE2BB37BC64744,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,A0001,A,0,0,0,1,D,A
1E1E48713457F884D12088357D90E0D4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,A0001,A,0,0,0,1,D,A
