cust_no,prod_id,event_id,event_type,event_level,event_date,event_term,event_rate,event_amt,A,B,D,is_success,event_level_A,event_level_B,event_level_C,prod_cat,prev_count_A,prev_count_A_neg,prev_count_C,prev_count_C_neg,prev_count_D,prev_count_D_neg,prev_count_N,prev_count_N_neg,prev_count_P,prev_count_P_neg,gender,age,edu_bg,marriage_situ_cd,interval_level,deposit_type1,deposit_type2,__sheet__,credit_level,credit_amt_cd,credit_type1,credit_type2,new_flag,frtn_type,fr_period_type,fr_prod_attr,fr_prod_type,fr_risk_level,channel_type,channel_type2,pay_type1,pay_type2
292DE712B86312BDBAB11D2EB6442F4D,A0159,0.0,A,A,2024-01-15,0.0,0.0,0.0,1,0,0,1,1,0,0,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35,4.204527419287475,22.148731784086497,0.0,0.0,0.0,A,0.0,0.0,0.0,0.0,,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
B247F6259618FC341732D8293E5C2024,A0054,0.0,A,A,2024-10-30,0.0,0.0,0.0,1,0,0,1,1,0,0,A,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0,35,4.204527419287475,22.148731784086497,0.0,0.0,0.0,A,0.0,0.0,0.0,0.0,,1.0,1.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0
98E7767003E343CAC2E355CF6D0F051F,A0148,0.0,A,A,2024-04-27,0.0,0.0,0.0,1,0,0,1,1,0,0,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35,3.0,20.0,0.0,0.0,0.0,A,0.0,0.0,0.0,0.0,,1.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
098F37F30A82477ED144E634EA99AF27,A0120,0.0,A,A,2024-04-25,0.0,0.0,0.0,1,0,0,1,1,0,0,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35,4.204527419287475,22.148731784086497,0.0,0.0,0.0,A,0.0,0.0,0.0,0.0,,1.0,1.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0
F30438760132AAB69D5B086437993719,A0149,0.0,A,A,2024-05-31,0.0,0.0,0.0,1,0,0,1,1,0,0,A,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0,35,4.204527419287475,22.148731784086497,0.0,0.0,0.0,A,0.0,0.0,0.0,0.0,,1.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
9CB76BC28DF2510DCD5025853D9C253A,A0159,0.0,A,A,2024-02-26,0.0,0.0,0.0,1,0,0,1,1,0,0,A,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0,35,7.0,20.0,0.0,0.0,0.0,A,0.0,0.0,0.0,0.0,,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0339EBB6326B5FD3E72597514F907F1A,A0150,0.0,A,A,2024-01-28,0.0,0.0,0.0,1,0,0,1,1,0,0,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35,3.0,10.0,0.0,0.0,0.0,A,0.0,0.0,0.0,0.0,,1.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
D4A8829CB1E1C70EA08ADD68CBCD1154,A0008,0.0,A,A,2024-12-17,0.0,0.0,0.0,1,0,0,1,1,0,0,A,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35,4.204527419287475,22.148731784086497,0.0,0.0,0.0,A,0.0,0.0,0.0,0.0,,1.0,1.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0
11F36D9D1941814C9F094668BB5E2A1E,A0148,0.0,A,A,2024-03-09,0.0,0.0,0.0,1,0,0,1,1,0,0,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,35,3.0,20.0,0.0,0.0,0.0,A,0.0,0.0,0.0,0.0,,1.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
F0B97787B108C43D48644B04D3062D3F,A0031,0.0,A,A,2024-06-06,0.0,0.0,0.0,1,0,0,1,1,0,0,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,35,7.0,20.0,0.0,0.0,0.0,A,0.0,0.0,0.0,0.0,,1.0,1.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0
