cust_no,rank,prod_id,score2
C0000001,1,P00246,0.15970981641590562
C0000001,2,D0019,0.023702938079086525
C0000001,3,D0075,0.023702938079086525
C0000001,4,D0093,0.023702938079086525
C0000001,5,D0054,0.023702938079086525
C0000004,1,P00317,0.15970981641590562
C0000004,2,D0040,0.023702938079086525
C0000004,3,D0058,0.023702938079086525
C0000004,4,D0006,0.023702938079086525
C0000004,5,D0001,0.023702938079086525
C0000007,1,P00068,0.15970981641590562
C0000007,2,P00452,0.15970981641590562
C0000007,3,D0003,0.023702938079086525
C0000007,4,D0077,0.023702938079086525
C0000007,5,D0070,0.023702938079086525
C0000018,1,D0077,0.023702938079086525
C0000018,2,D0086,0.023702938079086525
C0000018,3,D0015,0.023702938079086525
C0000018,4,D0080,0.023702938079086525
C0000018,5,D0076,0.023702938079086525
C0000020,1,P00339,0.15970981641590562
C0000020,2,D0062,0.023702938079086525
C0000020,3,D0057,0.023702938079086525
C0000020,4,D0082,0.023702938079086525
C0000020,5,D0055,0.023702938079086525
C0000032,1,D0006,0.023702938079086525
C0000032,2,D0089,0.023702938079086525
C0000032,3,D0022,0.023702938079086525
C0000032,4,D0007,0.023702938079086525
C0000032,5,D0028,0.023702938079086525
C0000035,1,P00252,0.15970981641590562
C0000035,2,D0017,0.023702938079086525
C0000035,3,D0025,0.023702938079086525
C0000035,4,D0012,0.023702938079086525
C0000035,5,D0014,0.023702938079086525
C0000036,1,P00156,0.15970981641590562
C0000036,2,P00007,0.15970981641590562
C0000036,3,D0020,0.023702938079086525
C0000036,4,D0057,0.023702938079086525
C0000036,5,D0044,0.023702938079086525
C0000042,1,D0030,0.023702938079086525
C0000042,2,D0092,0.023702938079086525
C0000042,3,D0014,0.023702938079086525
C0000042,4,D0091,0.023702938079086525
C0000042,5,D0070,0.023702938079086525
C0000043,1,P00347,0.15970981641590562
C0000043,2,P00487,0.15970981641590562
C0000043,3,D0053,0.023702938079086525
C0000043,4,D0075,0.023702938079086525
C0000043,5,D0024,0.023702938079086525
C0000047,1,D0016,0.023702938079086525
C0000047,2,D0065,0.023702938079086525
C0000047,3,D0037,0.023702938079086525
C0000047,4,D0040,0.023702938079086525
C0000047,5,D0045,0.023702938079086525
C0000048,1,P00117,0.15970981641590562
C0000048,2,P00001,0.15970981641590562
C0000048,3,P00425,0.15970981641590562
C0000048,4,D0072,0.023702938079086525
C0000048,5,D0011,0.023702938079086525
C0000050,1,D0059,0.023702938079086525
C0000050,2,D0023,0.023702938079086525
C0000050,3,D0005,0.023702938079086525
C0000050,4,D0047,0.023702938079086525
C0000050,5,D0099,0.023702938079086525
C0000051,1,P00318,0.15970981641590562
C0000051,2,D0058,0.023702938079086525
C0000051,3,D0035,0.023702938079086525
C0000051,4,D0047,0.023702938079086525
C0000051,5,D0083,0.023702938079086525
C0000055,1,D0064,0.023702938079086525
C0000055,2,D0032,0.023702938079086525
C0000055,3,D0030,0.023702938079086525
C0000055,4,D0073,0.023702938079086525
C0000055,5,D0007,0.023702938079086525
C0000058,1,P00387,0.15970981641590562
C0000058,2,P00498,0.15970981641590562
C0000058,3,D0095,0.023702938079086525
C0000058,4,D0094,0.023702938079086525
C0000058,5,D0100,0.023702938079086525
C0000060,1,P00442,0.15970981641590562
C0000060,2,P00220,0.15970981641590562
C0000060,3,P00329,0.15970981641590562
C0000060,4,P00268,0.15970981641590562
C0000060,5,D0001,0.023702938079086525
C0000073,1,D0080,0.023702938079086525
C0000073,2,D0047,0.023702938079086525
C0000073,3,D0099,0.023702938079086525
C0000073,4,D0027,0.023702938079086525
C0000073,5,D0051,0.023702938079086525
C0000089,1,P00007,0.15970981641590562
C0000089,2,D0035,0.023702938079086525
C0000089,3,D0065,0.023702938079086525
C0000089,4,D0010,0.023702938079086525
C0000089,5,D0091,0.023702938079086525
C0000102,1,P00304,0.15970981641590562
C0000102,2,P00090,0.15970981641590562
C0000102,3,D0077,0.023702938079086525
C0000102,4,D0007,0.023702938079086525
C0000102,5,D0071,0.023702938079086525
C0000103,1,P00392,0.15970981641590562
C0000103,2,D0002,0.023702938079086525
C0000103,3,D0055,0.023702938079086525
C0000103,4,D0041,0.023702938079086525
C0000103,5,D0050,0.023702938079086525
C0000104,1,D0010,0.023702938079086525
C0000104,2,D0027,0.023702938079086525
C0000104,3,D0059,0.023702938079086525
C0000104,4,D0069,0.023702938079086525
C0000104,5,D0098,0.023702938079086525
C0000116,1,D0036,0.023702938079086525
C0000116,2,D0070,0.023702938079086525
C0000116,3,D0025,0.023702938079086525
C0000116,4,D0024,0.023702938079086525
C0000116,5,D0021,0.023702938079086525
C0000120,1,P00290,0.15970981641590562
C0000120,2,D0065,0.023702938079086525
C0000120,3,D0044,0.023702938079086525
C0000120,4,D0082,0.023702938079086525
C0000120,5,D0096,0.023702938079086525
C0000122,1,P00234,0.15970981641590562
C0000122,2,P00188,0.15970981641590562
C0000122,3,D0040,0.023702938079086525
C0000122,4,D0038,0.023702938079086525
C0000122,5,D0031,0.023702938079086525
C0000124,1,P00446,0.15970981641590562
C0000124,2,D0076,0.023702938079086525
C0000124,3,D0023,0.023702938079086525
C0000124,4,D0059,0.023702938079086525
C0000124,5,D0056,0.023702938079086525
C0000128,1,P00233,0.15970981641590562
C0000128,2,P00092,0.15970981641590562
C0000128,3,D0052,0.023702938079086525
C0000128,4,D0051,0.023702938079086525
C0000128,5,D0090,0.023702938079086525
C0000131,1,D0005,0.023702938079086525
C0000131,2,D0040,0.023702938079086525
C0000131,3,D0071,0.023702938079086525
C0000131,4,D0020,0.023702938079086525
C0000131,5,D0093,0.023702938079086525
C0000135,1,P00462,0.15970981641590562
C0000135,2,D0020,0.023702938079086525
C0000135,3,D0056,0.023702938079086525
C0000135,4,D0006,0.023702938079086525
C0000135,5,D0050,0.023702938079086525
C0000138,1,P00268,0.15970981641590562
C0000138,2,P00088,0.15970981641590562
C0000138,3,D0081,0.023702938079086525
C0000138,4,D0054,0.023702938079086525
C0000138,5,D0068,0.023702938079086525
C0000140,1,P00042,0.15970981641590562
C0000140,2,P00008,0.15970981641590562
C0000140,3,D0087,0.023702938079086525
C0000140,4,D0092,0.023702938079086525
C0000140,5,D0070,0.023702938079086525
C0000147,1,D0090,0.023702938079086525
C0000147,2,D0056,0.023702938079086525
C0000147,3,D0034,0.023702938079086525
C0000147,4,D0027,0.023702938079086525
C0000147,5,D0099,0.023702938079086525
C0000170,1,D0087,0.023702938079086525
C0000170,2,D0059,0.023702938079086525
C0000170,3,D0031,0.023702938079086525
C0000170,4,D0075,0.023702938079086525
C0000170,5,D0071,0.023702938079086525
C0000181,1,D0081,0.023702938079086525
C0000181,2,D0078,0.023702938079086525
C0000181,3,D0046,0.023702938079086525
C0000181,4,D0045,0.023702938079086525
C0000181,5,D0068,0.023702938079086525
C0000182,1,D0075,0.023702938079086525
C0000182,2,D0073,0.023702938079086525
C0000182,3,D0025,0.023702938079086525
C0000182,4,D0043,0.023702938079086525
C0000182,5,D0076,0.023702938079086525
C0000201,1,D0034,0.023702938079086525
C0000201,2,D0017,0.023702938079086525
C0000201,3,D0024,0.023702938079086525
C0000201,4,D0099,0.023702938079086525
C0000201,5,D0088,0.023702938079086525
C0000206,1,P00276,0.15970981641590562
C0000206,2,D0016,0.023702938079086525
C0000206,3,D0086,0.023702938079086525
C0000206,4,D0072,0.023702938079086525
C0000206,5,D0006,0.023702938079086525
C0000211,1,P00399,0.15970981641590562
C0000211,2,D0065,0.023702938079086525
C0000211,3,D0077,0.023702938079086525
C0000211,4,D0046,0.023702938079086525
C0000211,5,D0012,0.023702938079086525
C0000218,1,P00177,0.15970981641590562
C0000218,2,P00155,0.15970981641590562
C0000218,3,P00238,0.15970981641590562
C0000218,4,D0062,0.023702938079086525
C0000218,5,D0031,0.023702938079086525
C0000219,1,D0096,0.023702938079086525
C0000219,2,D0040,0.023702938079086525
C0000219,3,D0005,0.023702938079086525
C0000219,4,D0084,0.023702938079086525
C0000219,5,D0038,0.023702938079086525
C0000222,1,P00029,0.15970981641590562
C0000222,2,P00376,0.15970981641590562
C0000222,3,D0058,0.023702938079086525
C0000222,4,D0011,0.023702938079086525
C0000222,5,D0010,0.023702938079086525
C0000223,1,P00457,0.15970981641590562
C0000223,2,D0050,0.023702938079086525
C0000223,3,D0026,0.023702938079086525
C0000223,4,D0015,0.023702938079086525
C0000223,5,D0099,0.023702938079086525
C0000231,1,D0055,0.023702938079086525
C0000231,2,D0001,0.023702938079086525
C0000231,3,D0073,0.023702938079086525
C0000231,4,D0015,0.023702938079086525
C0000231,5,D0025,0.023702938079086525
C0000242,1,P00357,0.15970981641590562
C0000242,2,P00349,0.15970981641590562
C0000242,3,P00016,0.15970981641590562
C0000242,4,D0095,0.023702938079086525
C0000242,5,D0070,0.023702938079086525
C0000248,1,P00412,0.15970981641590562
