cust_no,recommended_products
C0000001,"P00246,D0019,D0075,D0093,D0054"
C0000004,"P00317,D0040,D0058,D0006,D0001"
C0000007,"P00068,P00452,D0003,D0077,D0070"
C0000018,"D0077,D0086,D0015,D0080,D0076"
C0000020,"P00339,D0062,D0057,D0082,D0055"
C0000032,"D0006,D0089,D0022,D0007,D0028"
C0000035,"P00252,D0017,D0025,D0012,D0014"
C0000036,"P00156,P00007,D0020,D0057,D0044"
C0000042,"D0030,D0092,D0014,D0091,D0070"
C0000043,"P00347,P00487,D0053,D0075,D0024"
C0000047,"D0016,D0065,D0037,D0040,D0045"
C0000048,"P00117,P00001,P00425,D0072,D0011"
C0000050,"D0059,D0023,D0005,D0047,D0099"
C0000051,"P00318,D0058,D0035,D0047,D0083"
C0000055,"D0064,D0032,D0030,D0073,D0007"
C0000058,"P00387,P00498,D0095,D0094,D0100"
C0000060,"P00442,P00220,P00329,P00268,D0001"
C0000073,"D0080,D0047,D0099,D0027,D0051"
C0000089,"P00007,D0035,D0065,D0010,D0091"
C0000102,"P00304,P00090,D0077,D0007,D0071"
C0000103,"P00392,D0002,D0055,D0041,D0050"
C0000104,"D0010,D0027,D0059,D0069,D0098"
C0000116,"D0036,D0070,D0025,D0024,D0021"
C0000120,"P00290,D0065,D0044,D0082,D0096"
C0000122,"P00234,P00188,D0040,D0038,D0031"
C0000124,"P00446,D0076,D0023,D0059,D0056"
C0000128,"P00233,P00092,D0052,D0051,D0090"
C0000131,"D0005,D0040,D0071,D0020,D0093"
C0000135,"P00462,D0020,D0056,D0006,D0050"
C0000138,"P00268,P00088,D0081,D0054,D0068"
C0000140,"P00042,P00008,D0087,D0092,D0070"
C0000147,"D0090,D0056,D0034,D0027,D0099"
C0000170,"D0087,D0059,D0031,D0075,D0071"
C0000181,"D0081,D0078,D0046,D0045,D0068"
C0000182,"D0075,D0073,D0025,D0043,D0076"
C0000201,"D0034,D0017,D0024,D0099,D0088"
C0000206,"P00276,D0016,D0086,D0072,D0006"
C0000211,"P00399,D0065,D0077,D0046,D0012"
C0000218,"P00177,P00155,P00238,D0062,D0031"
C0000219,"D0096,D0040,D0005,D0084,D0038"
C0000222,"P00029,P00376,D0058,D0011,D0010"
C0000223,"P00457,D0050,D0026,D0015,D0099"
C0000231,"D0055,D0001,D0073,D0015,D0025"
C0000242,"P00357,P00349,P00016,D0095,D0070"
C0000248,"P00412,P00140,P00236,D0039,D0096"
C0000252,"D0009,D0015,D0024,D0070,D0100"
C0000258,"P00352,P00472,D0061,D0067,D0039"
C0000266,"P00443,P00243,P00467,P00045,P00190"
C0000274,"D0072,D0026,D0050,D0023,D0033"
C0000275,"D0020,D0004,D0025,D0031,D0017"
C0000279,"D0055,D0077,D0066,D0035,D0001"
C0000286,"P00036,D0045,D0047,D0098,D0035"
C0000287,"D0068,D0039,D0088,D0006,D0016"
C0000291,"D0046,D0059,D0008,D0057,D0064"
C0000292,"P00083,D0076,D0052,D0012,D0031"
C0000294,"P00027,P00180,D0077,D0078,D0060"
C0000314,"P00432,D0030,D0042,D0068,D0057"
C0000323,"P00477,D0080,D0001,D0053,D0096"
C0000324,"P00127,P00185,D0042,D0069,D0094"
C0000327,"D0085,D0050,D0042,D0011,D0010"
C0000328,"D0016,D0026,D0089,D0035,D0094"
C0000340,"P00458,P00277,D0096,D0064,D0044"
C0000342,"P00329,D0006,D0070,D0017,D0042"
C0000345,"P00020,D0014,D0084,D0043,D0019"
C0000347,"P00239,P00456,D0089,D0075,D0098"
C0000352,"P00163,D0085,D0094,D0090,D0041"
C0000360,"D0063,D0100,D0032,D0090,D0056"
C0000362,"D0026,D0037,D0020,D0079,D0057"
C0000380,"P00328,P00327,P00153,D0036,D0047"
C0000386,"P00280,D0001,D0005,D0014,D0064"
C0000388,"D0065,D0055,D0086,D0056,D0021"
C0000397,"D0072,D0016,D0078,D0054,D0042"
C0000402,"P00498,P00150,P00180,D0068,D0026"
C0000410,"D0024,D0098,D0097,D0007,D0032"
C0000411,"D0029,D0011,D0062,D0067,D0049"
C0000412,"P00216,P00398,D0072,D0051,D0062"
C0000424,"P00313,D0067,D0012,D0042,D0061"
C0000425,"D0056,D0091,D0005,D0077,D0070"
C0000427,"D0036,D0014,D0072,D0010,D0086"
C0000432,"D0100,D0041,D0022,D0093,D0059"
C0000439,"D0058,D0028,D0074,D0054,D0053"
C0000448,"D0049,D0061,D0011,D0078,D0031"
C0000450,"P00042,D0099,D0089,D0090,D0018"
C0000451,"D0048,D0025,D0043,D0017,D0045"
C0000452,"P00432,P00437,D0070,D0017,D0009"
C0000460,"P00455,P00355,D0054,D0084,D0072"
C0000461,"P00048,P00352,D0079,D0020,D0073"
C0000467,"P00065,D0073,D0053,D0087,D0058"
C0000468,"P00426,D0013,D0011,D0089,D0022"
C0000475,"P00299,D0063,D0081,D0084,D0039"
C0000477,"P00492,P00066,P00471,D0100,D0098"
C0000483,"P00260,P00274,P00182,D0004,D0019"
C0000484,"D0053,D0021,D0086,D0016,D0079"
C0000485,"P00204,P00354,P00496,D0031,D0092"
C0000486,"D0006,D0088,D0002,D0097,D0064"
C0000488,"D0024,D0040,D0074,D0038,D0016"
C0000500,"P00190,D0030,D0085,D0070,D0081"
C0000504,"P00499,P00195,D0060,D0087,D0015"
C0000514,"P00329,P00328,D0007,D0067,D0045"
C0000536,"D0017,D0043,D0009,D0061,D0048"
C0000543,"P00306,P00411,D0044,D0008,D0063"
C0000550,"D0039,D0079,D0032,D0014,D0051"
C0000554,"P00428,D0051,D0034,D0088,D0042"
C0000559,"P00086,P00043,D0001,D0049,D0042"
C0000564,"P00111,P00302,P00416,D0019,D0094"
C0000577,"P00041,P00145,D0050,D0068,D0041"
C0000587,"D0058,D0060,D0027,D0028,D0006"
C0000602,"P00469,P00271,D0090,D0025,D0049"
C0000607,"D0095,D0013,D0099,D0061,D0033"
C0000609,"D0011,D0002,D0100,D0041,D0023"
C0000622,"P00279,P00355,D0080,D0089,D0069"
C0000632,"P00097,D0100,D0017,D0018,D0044"
C0000636,"D0034,D0044,D0069,D0056,D0082"
C0000641,"P00010,D0055,D0016,D0053,D0095"
C0000648,"D0034,D0040,D0087,D0050,D0049"
C0000652,"P00329,P00160,D0053,D0001,D0092"
C0000656,"P00291,P00155,P00129,D0078,D0032"
C0000658,"P00458,D0069,D0043,D0066,D0078"
C0000665,"P00306,P00323,P00088,D0008,D0082"
C0000669,"D0041,D0079,D0027,D0086,D0010"
C0000689,"P00114,P00041,D0090,D0039,D0013"
C0000696,"P00097,P00362,D0090,D0039,D0019"
C0000698,"P00426,P00264,D0075,D0059,D0001"
C0000706,"D0019,D0063,D0001,D0096,D0073"
C0000708,"P00346,P00198,D0035,D0042,D0057"
C0000709,"P00038,D0028,D0088,D0004,D0079"
C0000715,"P00052,D0047,D0009,D0061,D0085"
C0000716,"D0091,D0059,D0054,D0025,D0022"
C0000719,"D0001,D0092,D0016,D0050,D0080"
C0000721,"P00041,D0072,D0012,D0085,D0100"
C0000725,"P00189,D0083,D0082,D0064,D0063"
C0000730,"P00319,D0049,D0026,D0063,D0093"
C0000734,"D0048,D0088,D0070,D0003,D0092"
C0000736,"D0038,D0002,D0022,D0071,D0094"
C0000737,"P00059,D0048,D0067,D0021,D0059"
C0000739,"D0018,D0064,D0056,D0039,D0002"
C0000742,"D0096,D0065,D0037,D0006,D0042"
C0000745,"D0053,D0071,D0044,D0076,D0092"
C0000752,"D0048,D0037,D0068,D0002,D0098"
C0000796,"P00163,D0035,D0018,D0078,D0012"
C0000804,"D0008,D0042,D0056,D0041,D0017"
C0000813,"P00172,P00252,P00003,D0017,D0073"
C0000818,"P00012,D0022,D0052,D0058,D0037"
C0000821,"P00461,D0056,D0029,D0014,D0067"
C0000827,"P00040,P00316,P00016,P00496,D0062"
C0000829,"D0060,D0034,D0065,D0059,D0087"
C0000837,"D0032,D0024,D0034,D0005,D0002"
C0000844,"P00273,D0050,D0049,D0065,D0022"
C0000853,"P00256,D0029,D0088,D0049,D0020"
C0000857,"P00164,P00274,D0064,D0022,D0099"
C0000879,"P00106,D0070,D0048,D0013,D0038"
C0000885,"D0097,D0071,D0076,D0079,D0086"
C0000901,"D0065,D0025,D0022,D0058,D0094"
C0000903,"P00465,P00018,D0067,D0002,D0092"
C0000908,"P00288,D0024,D0048,D0053,D0064"
C0000912,"P00326,D0071,D0063,D0014,D0011"
C0000922,"P00425,D0005,D0049,D0045,D0011"
C0000928,"P00253,P00485,D0007,D0009,D0092"
C0000929,"D0093,D0068,D0019,D0012,D0041"
C0000931,"D0057,D0049,D0051,D0083,D0044"
C0000935,"P00103,D0039,D0050,D0036,D0089"
C0000937,"D0084,D0074,D0083,D0010,D0100"
C0000938,"P00179,D0099,D0031,D0057,D0051"
C0000954,"D0085,D0100,D0016,D0081,D0048"
C0000960,"D0058,D0017,D0047,D0085,D0015"
C0000961,"D0022,D0041,D0094,D0020,D0089"
C0000964,"P00125,D0087,D0065,D0099,D0001"
C0000968,"D0031,D0024,D0060,D0077,D0044"
C0000971,"P00367,D0093,D0092,D0074,D0045"
C0000972,"P00097,P00266,D0055,D0042,D0062"
C0000978,"P00019,P00434,P00106,P00361,D0084"
C0000981,"P00374,D0021,D0098,D0045,D0037"
C0000994,"P00265,D0017,D0064,D0037,D0063"
C0001003,"D0031,D0017,D0064,D0068,D0072"
C0001006,"P00113,P00175,D0065,D0091,D0021"
C0001007,"P00423,P00014,D0071,D0022,D0017"
C0001011,"D0037,D0003,D0017,D0076,D0028"
C0001021,"P00366,D0020,D0084,D0072,D0071"
C0001024,"D0067,D0092,D0017,D0047,D0014"
C0001027,"P00311,P00424,P00370,D0033,D0034"
C0001028,"P00261,D0078,D0035,D0095,D0071"
C0001030,"P00387,P00471,D0042,D0065,D0020"
C0001035,"P00071,P00495,D0044,D0003,D0058"
C0001036,"P00414,D0023,D0021,D0084,D0069"
C0001039,"D0092,D0030,D0079,D0078,D0090"
C0001040,"P00018,D0019,D0085,D0011,D0070"
C0001053,"D0012,D0067,D0008,D0056,D0095"
C0001057,"D0098,D0055,D0017,D0025,D0082"
C0001062,"P00278,D0024,D0049,D0093,D0032"
C0001064,"P00056,D0055,D0078,D0029,D0042"
C0001066,"D0042,D0035,D0062,D0093,D0044"
C0001067,"D0089,D0063,D0080,D0002,D0072"
C0001072,"P00385,D0085,D0036,D0065,D0072"
C0001078,"D0059,D0014,D0028,D0001,D0045"
C0001085,"D0015,D0067,D0010,D0038,D0093"
C0001086,"P00465,D0063,D0077,D0067,D0008"
C0001087,"D0001,D0064,D0061,D0033,D0006"
C0001088,"D0012,D0088,D0096,D0024,D0021"
C0001091,"D0033,D0054,D0070,D0029,D0084"
C0001093,"P00241,P00456,D0090,D0099,D0042"
C0001098,"P00140,D0037,D0074,D0066,D0026"
C0001115,"P00017,P00310,P00165,D0024,D0055"
C0001120,"P00247,D0007,D0083,D0034,D0059"
C0001124,"D0020,D0060,D0028,D0064,D0032"
C0001131,"P00289,P00043,P00108,D0043,D0012"
C0001145,"D0013,D0093,D0031,D0055,D0097"
C0001148,"D0052,D0066,D0063,D0099,D0025"
C0001149,"P00290,P00351,D0063,D0064,D0076"
C0001154,"D0089,D0097,D0068,D0005,D0051"
C0001158,"P00432,P00220,P00431,D0037,D0002"
C0001159,"D0029,D0055,D0004,D0028,D0037"
C0001163,"P00430,P00250,P00208,P00105,D0035"
C0001164,"P00088,P00136,D0050,D0007,D0061"
C0001167,"D0053,D0097,D0049,D0052,D0004"
C0001176,"P00326,P00047,P00406,P00073,P00006"
C0001183,"P00358,D0052,D0083,D0063,D0065"
C0001195,"D0071,D0022,D0035,D0040,D0093"
C0001200,"P00295,D0056,D0010,D0074,D0050"
C0001203,"D0028,D0014,D0066,D0068,D0009"
C0001209,"D0001,D0032,D0036,D0088,D0009"
C0001211,"D0022,D0070,D0065,D0077,D0093"
C0001214,"D0041,D0004,D0081,D0064,D0052"
C0001216,"P00164,P00118,D0084,D0100,D0060"
C0001220,"D0091,D0021,D0063,D0028,D0067"
C0001228,"P00075,D0057,D0100,D0080,D0017"
C0001248,"P00436,D0046,D0059,D0071,D0079"
C0001262,"P00335,P00182,D0061,D0063,D0064"
C0001271,"P00233,D0035,D0051,D0021,D0006"
C0001273,"P00126,P00475,P00012,D0013,D0002"
C0001278,"P00158,P00173,P00246,P00233,D0037"
C0001281,"D0018,D0017,D0066,D0002,D0059"
C0001283,"P00266,P00259,D0097,D0004,D0024"
C0001289,"D0075,D0040,D0037,D0077,D0047"
C0001291,"D0049,D0060,D0016,D0079,D0012"
C0001298,"P00201,P00243,P00044,P00224,P00322"
C0001304,"D0005,D0032,D0027,D0055,D0018"
C0001316,"D0097,D0024,D0059,D0021,D0050"
C0001319,"D0093,D0016,D0014,D0030,D0056"
C0001322,"P00185,D0030,D0067,D0052,D0024"
C0001324,"D0037,D0096,D0067,D0017,D0089"
C0001329,"D0060,D0081,D0069,D0017,D0031"
C0001338,"P00460,D0055,D0035,D0075,D0066"
C0001340,"P00269,D0005,D0030,D0076,D0075"
C0001344,"P00226,D0092,D0073,D0040,D0100"
C0001347,"D0072,D0008,D0098,D0006,D0007"
C0001348,"P00020,D0066,D0081,D0012,D0008"
C0001351,"D0003,D0086,D0054,D0014,D0013"
C0001356,"D0015,D0076,D0009,D0005,D0012"
C0001359,"D0084,D0012,D0026,D0095,D0038"
C0001363,"P00065,P00268,P00096,D0071,D0088"
C0001373,"D0028,D0049,D0062,D0100,D0039"
C0001384,"P00102,D0083,D0070,D0084,D0020"
C0001394,"P00199,P00325,P00261,D0064,D0043"
C0001397,"D0074,D0010,D0076,D0077,D0002"
C0001398,"P00290,P00069,P00235,D0010,D0008"
C0001399,"D0026,D0018,D0041,D0079,D0012"
C0001403,"P00217,P00313,P00353,D0067,D0060"
C0001412,"P00447,D0097,D0008,D0017,D0093"
C0001414,"D0028,D0058,D0043,D0021,D0050"
C0001420,"D0086,D0008,D0028,D0002,D0094"
C0001428,"P00329,P00167,D0056,D0054,D0063"
C0001430,"P00243,P00140,P00418,D0020,D0088"
C0001431,"P00071,D0048,D0050,D0028,D0009"
C0001434,"P00380,P00031,D0062,D0028,D0031"
C0001442,"P00100,P00256,D0003,D0064,D0013"
C0001444,"D0094,D0078,D0046,D0044,D0013"
C0001445,"D0070,D0060,D0008,D0100,D0014"
C0001451,"P00467,P00010,D0059,D0035,D0032"
C0001454,"P00097,D0007,D0067,D0080,D0012"
C0001457,"D0079,D0004,D0098,D0054,D0030"
C0001458,"D0044,D0047,D0041,D0072,D0068"
C0001459,"P00038,P00010,D0036,D0033,D0082"
C0001471,"P00013,D0075,D0068,D0023,D0059"
C0001476,"P00323,P00305,D0085,D0010,D0067"
C0001477,"D0019,D0084,D0006,D0077,D0064"
C0001490,"D0100,D0032,D0063,D0053,D0010"
