,cust_no,prod_id,event_id,event_type,event_level,event_date,event_term,event_rate,event_amt,birth_ym,loc_cd,gender,init_dt,edu_bg,marriage_situ_cd,D_interval_level,D_deposit_type1,D_deposit_type2,C_credit_level,C_credit_amt_cd,C_credit_type1,C_credit_type2,C_new_flag,N_channel_type,N_channel_type2,A_frtn_type,A_fr_period_type,A_fr_prod_attr,A_fr_prod_type,A_fr_risk_level,P_pay_type1,P_pay_type2,first_cluster_id
334363,7A0E5F451F5F09594AE5A03F8CEE66B9,A0189,E0015,A,A,2024-11-01,,,,1973-03,L001,F,2016-05-11,,,,,,,,,,,,,1.0,1.0,3.0,2.0,2.0,,,A7
334364,1ED9D0E244C12DE088C50FE7A3639E40,A0161,E0015,A,A,2024-03-04,,,,1954-02,L001,F,2010-12-17,,,,,,,,,,,,,1.0,2.0,3.0,0.0,2.0,,,A6
334365,7A505EB8237D88646CFA9068A0529C23,A0162,E0015,A,A,2024-03-22,,,,1988-11,L001,F,2011-08-30,,,,,,,,,,,,,1.0,2.0,3.0,0.0,2.0,,,A6
334366,453E33EF48D189F596A0B41CFF6A26C6,A0161,E0015,A,A,2024-11-21,,,,1983-10,L001,F,2012-03-02,3.0,,,,,,,,,,,,1.0,2.0,3.0,0.0,2.0,,,A6
334367,B57AF5F18AA6F5512F1697D7C7890268,A0163,E0015,A,A,2024-01-04,,,,1971-11,L003,F,2018-02-24,,,,,,,,,,,,,1.0,2.0,3.0,0.0,2.0,,,A6
334368,285433EA33419434C0C6D8462062F5AE,A0168,E0015,A,A,2024-06-03,,,,1990-12,L001,M,2018-04-15,3.0,20.0,,,,,,,,,,,1.0,2.0,3.0,0.0,2.0,,,A6
334369,07DEB5AA58ED0C6FE8A7CD69BBB541E9,A0167,E0015,A,A,2024-07-08,,,,1993-07,L001,F,2019-12-21,3.0,10.0,,,,,,,,,,,1.0,2.0,3.0,0.0,2.0,,,A6
334370,529AF93315F217CB67EF5AE560866403,A0162,E0015,A,A,2024-11-08,,,,1974-10,L001,M,2011-12-30,,,,,,,,,,,,,1.0,2.0,3.0,0.0,2.0,,,A6
334371,D57F7027BBCFB77BB7CF9DBD5A091A67,A0166,E0015,A,A,2024-01-08,,,,1970-08,L002,F,2017-02-22,,,,,,,,,,,,,1.0,2.0,3.0,0.0,2.0,,,A6
334372,EFBEFC4C8D700154A018528DBFF7B0A2,A0160,E0015,A,A,2024-02-26,,,,1975-04,L001,F,2008-04-18,7.0,20.0,,,,,,,,,,,1.0,3.0,4.0,0.0,2.0,,,A5
