,cust_no,prod_id,event_id,event_type,event_level,event_date,event_term,event_rate,event_amt,birth_ym,loc_cd,gender,init_dt,edu_bg,marriage_situ_cd,D_interval_level,D_deposit_type1,D_deposit_type2,C_credit_level,C_credit_amt_cd,C_credit_type1,C_credit_type2,C_new_flag,N_channel_type,N_channel_type2,A_frtn_type,A_fr_period_type,A_fr_prod_attr,A_fr_prod_type,A_fr_risk_level,P_pay_type1,P_pay_type2,first_cluster_id
298586,A509816D811CCDDDA3C7FB52A054E99E,N0001,E0010,A,A,2024-01-22,,,,1955-05,L001,F,2011-08-19,,,,,,,,,,,1.0,1.0,,,,,,,,N0
298587,540D3C2D8BD49870256FA01E286FCB61,N0002,E0010,A,A,2024-09-24,,,,2000-01,L003,F,2024-09-24,,,,,,,,,,,1.0,1.0,,,,,,,,N0
298588,770A02771E24C0B098BA45919F9D0FFC,N0002,E0010,A,A,2024-03-11,,,,1997-02,L060,M,2013-02-17,4.0,20.0,,,,,,,,,1.0,1.0,,,,,,,,N0
298589,32CF567B680F36DE17B7776695FCF7A7,N0001,E0010,A,A,2024-03-20,,,,1979-07,L001,F,2010-08-26,,,,,,,,,,,1.0,1.0,,,,,,,,N0
298590,81C0AC8FB5E8E4A0AE8DF5C430120113,N0002,E0010,A,A,2024-11-21,,,,2001-10,L001,F,2021-08-10,,,,,,,,,,,1.0,1.0,,,,,,,,N0
298591,1EF9B96E2F456131F4F1F90769565BF3,N0002,E0010,A,A,2024-09-18,,,,1975-03,L011,M,2010-05-21,,,,,,,,,,,1.0,1.0,,,,,,,,N0
298592,6C84ACCC165DC0B5273185ACE579EAB1,N0002,E0010,A,A,2024-09-27,,,,1979-10,L001,M,2011-12-06,,,,,,,,,,,1.0,1.0,,,,,,,,N0
298593,E7F4622E30898FD773B41711F96A07E7,N0002,E0010,A,A,2024-10-10,,,,2004-08,L145,F,2016-03-17,,,,,,,,,,,1.0,1.0,,,,,,,,N0
298594,1CFC10346DEEF024FC65F142965510D6,N0002,E0010,A,A,2024-02-22,,,,1974-03,L086,M,2024-02-22,,,,,,,,,,,1.0,1.0,,,,,,,,N0
298595,5B1B68B0B9057D38DC1709D6879191A8,N0001,E0010,A,A,2024-01-25,,,,1972-04,L003,F,2013-04-25,,,,,,,,,,,1.0,1.0,,,,,,,,N0
298596,E155E7850A97C7EFA90365BA7CDC46C0,N0002,E0010,A,A,2024-04-19,,,,1950-06,L001,M,2012-02-06,,,,,,,,,,,1.0,1.0,,,,,,,,N0
298597,CF13DED3CF232AC055485B99186593BF,N0002,E0010,A,A,2024-10-23,,,,1975-09,L001,M,2010-08-30,,,,,,,,,,,1.0,1.0,,,,,,,,N0
298598,E7F4622E30898FD773B41711F96A07E7,N0002,E0010,A,A,2024-11-08,,,,2004-08,L145,F,2016-03-17,,,,,,,,,,,1.0,1.0,,,,,,,,N0
298599,F4774F70EAF66CDAFC1DDC7366D5E4B4,N0002,E0010,A,A,2024-03-04,,,,2003-01,L001,M,2024-03-04,,,,,,,,,,,1.0,1.0,,,,,,,,N0
298600,8E662FC7F1A4C28D85322CAF836C52AB,N0001,E0010,A,A,2024-02-28,,,,1982-02,L007,F,2017-08-09,,,,,,,,,,,1.0,1.0,,,,,,,,N0
298601,B2DEBF332D0F4FD57DD965739B2CF9FB,N0001,E0010,A,A,2024-08-01,,,,2001-09,L157,F,2024-08-01,,,,,,,,,,,1.0,1.0,,,,,,,,N0
298602,2A381A29BC4B72E782FCF7F7AE204EF1,N0002,E0010,A,A,2024-01-22,,,,1981-02,L005,F,2010-10-14,,,,,,,,,,,1.0,1.0,,,,,,,,N0
298603,47896C1E90B94289D757ADACD2B35D48,N0002,E0010,A,A,2024-09-02,,,,1950-09,L001,F,2011-08-08,,,,,,,,,,,1.0,1.0,,,,,,,,N0
298604,531ECE1B4416751EC4D6DCA0346D6B6F,N0004,E0010,A,A,2024-09-23,,,,1973-08,L039,M,2010-08-27,,,,,,,,,,,1.0,1.0,,,,,,,,N0
298605,0158E4619E91E52D539A5785FF5A1656,N0002,E0010,A,A,2024-01-15,,,,2004-06,L001,F,2020-07-08,,,,,,,,,,,1.0,1.0,,,,,,,,N0
298606,2FF47B50B3BF22BB84B312D204A1D0E8,N0002,E0010,A,A,2024-09-26,,,,1966-01,L001,M,2009-12-14,,,,,,,,,,,1.0,1.0,,,,,,,,N0
298607,3F34BC4E77A121ADCD3A8630C8E7D292,N0002,E0010,A,A,2024-02-26,,,,1994-01,L001,M,2016-07-07,3.0,10.0,,,,,,,,,1.0,1.0,,,,,,,,N0
298608,3B93152597023EEA6C0EC88061D3459C,N0002,E0010,A,A,2024-02-29,,,,1963-04,L001,F,2010-12-27,,,,,,,,,,,1.0,1.0,,,,,,,,N0
298609,BF281F5EEEA3D4D2530AD8437576AAE6,N0002,E0010,A,A,2024-09-18,,,,1951-11,L001,F,2007-01-16,,,,,,,,,,,1.0,1.0,,,,,,,,N0
298610,AE74B9300B99EC7EEE98D1355081B76F,N0002,E0010,A,A,2024-01-10,,,,1982-10,L103,M,2011-08-12,,,,,,,,,,,1.0,1.0,,,,,,,,N0
298611,BF281F5EEEA3D4D2530AD8437576AAE6,N0001,E0010,A,A,2024-09-18,,,,1951-11,L001,F,2007-01-16,,,,,,,,,,,1.0,1.0,,,,,,,,N0
298612,84BA32E1BA79798E7E81A03A0394E225,N0001,E0010,A,A,2024-01-17,,,,1963-10,L001,M,2015-04-23,,,,,,,,,,,1.0,1.0,,,,,,,,N0
