,cust_no,prod_id,event_id,event_type,event_level,event_date,event_term,event_rate,event_amt,birth_ym,loc_cd,gender,init_dt,edu_bg,marriage_situ_cd,D_interval_level,D_deposit_type1,D_deposit_type2,C_credit_level,C_credit_amt_cd,C_credit_type1,C_credit_type2,C_new_flag,N_channel_type,N_channel_type2,A_frtn_type,A_fr_period_type,A_fr_prod_attr,A_fr_prod_type,A_fr_risk_level,P_pay_type1,P_pay_type2,first_cluster_id
320085,B2DEBF332D0F4FD57DD965739B2CF9FB,P0001,E0011,A,A,2024-08-01,,,,2001-09,L157,F,2024-08-01,,,,,,,,,,,,,,,,,,1.0,1.0,P0
320086,ECD9E0D685FB20FC38D4A8658C944299,P0001,E0011,A,A,2024-10-31,,,,1983-09,L001,M,2010-07-06,,,,,,,,,,,,,,,,,,1.0,1.0,P0
320087,8F9DBD8AF79016534EA8B3E70F0C3EE6,P0001,E0011,A,A,2024-07-18,,,,1977-02,L033,M,2014-07-24,7.0,20.0,,,,,,,,,,,,,,,,1.0,1.0,P0
320088,8E4E45E6186DC3380EF386F03487C91D,P0001,E0011,A,A,2024-10-28,,,,1998-08,L205,F,2017-01-18,,,,,,,,,,,,,,,,,,1.0,1.0,P0
320089,CB29B50A357EAD4E5FB3BF3CCF407B58,P0001,E0011,A,A,2024-12-26,,,,2005-07,L001,M,2012-01-06,,,,,,,,,,,,,,,,,,1.0,1.0,P0
320090,7F12D2D975430C0B0D47FE8875A31599,P0001,E0011,A,A,2024-07-02,,,,1988-05,L001,M,2009-12-24,3.0,20.0,,,,,,,,,,,,,,,,1.0,1.0,P0
320091,A6F84FEFC1D8A3739E1DF2CA4999FD69,P0001,E0011,A,A,2024-06-20,,,,1988-07,L024,M,2006-07-19,,,,,,,,,,,,,,,,,,1.0,1.0,P0
320092,8A8C439A0FD43F0F0536819FD7ED2DD1,P0001,E0011,A,A,2024-05-23,,,,1972-01,L001,M,2010-09-08,,,,,,,,,,,,,,,,,,1.0,1.0,P0
320093,6D0A11B502124CDAF88F56F57F646B89,P0001,E0011,A,A,2024-05-22,,,,1986-04,L011,F,2024-05-22,7.0,20.0,,,,,,,,,,,,,,,,1.0,1.0,P0
320094,3922017F7618175B50D0D2405F055008,P0001,E0011,A,A,2024-06-06,,,,1968-12,L028,M,2017-03-22,7.0,20.0,,,,,,,,,,,,,,,,1.0,1.0,P0
320095,28295A58F01B1C11EF23F6029629E84A,P0001,E0011,A,A,2024-05-11,,,,1978-03,L039,F,2011-01-11,,,,,,,,,,,,,,,,,,1.0,1.0,P0
320096,B6345CCF996963A11FC6F8D31401363B,P0001,E0011,A,A,2024-05-28,,,,1971-02,L048,M,2021-12-07,,,,,,,,,,,,,,,,,,1.0,1.0,P0
320097,DEC835E0F8E85E197CCB997DE6D457AC,P0001,E0011,A,A,2024-05-09,,,,1964-01,L001,F,2010-11-18,,,,,,,,,,,,,,,,,,1.0,1.0,P0
320098,3AE65DBA5B7F7D7C034F1682D4E43D72,P0001,E0011,A,A,2024-06-03,,,,1990-05,L048,F,2024-06-03,,,,,,,,,,,,,,,,,,1.0,1.0,P0
320099,DA20C8CB6002A2BAD49BC75C555FD0B6,P0001,E0011,A,A,2024-05-20,,,,1990-04,L001,M,2007-05-23,,,,,,,,,,,,,,,,,,1.0,1.0,P0
320100,56508408CDEE36FDC280969BAB2BF2DD,P0001,E0011,A,A,2024-05-20,,,,1984-08,L001,M,2010-06-08,,,,,,,,,,,,,,,,,,1.0,1.0,P0
320101,31084ECA61BB02C38A2155E367BC47C1,P0001,E0011,A,A,2024-06-18,,,,1989-04,L011,M,2024-06-18,,,,,,,,,,,,,,,,,,1.0,1.0,P0
320102,C78FAC6F9BC7CFD541C0E8F8FD6E9EDE,P0001,E0011,A,A,2024-12-24,,,,1989-03,L001,M,2009-05-19,,,,,,,,,,,,,,,,,,1.0,1.0,P0
320103,BBAFE795F43BBB331D6013A8BD70F278,P0001,E0011,A,A,2024-09-06,,,,2002-01,L216,M,2021-02-20,,,,,,,,,,,,,,,,,,1.0,1.0,P0
320104,94C932AB1DD3252D7FFD8F882CA41978,P0001,E0011,A,A,2024-05-27,,,,1995-06,L116,M,2024-05-27,,,,,,,,,,,,,,,,,,1.0,1.0,P0
320105,8D679CB59DFDC79448AD7F33983B053D,P0001,E0011,A,A,2024-04-21,,,,1991-11,L050,F,2014-09-04,,,,,,,,,,,,,,,,,,1.0,1.0,P0
320106,7078D858CD05BCEF0D7C1464E4D95FFA,P0001,E0011,A,A,2024-05-30,,,,1995-08,L003,M,2024-05-30,2.0,10.0,,,,,,,,,,,,,,,,1.0,1.0,P0
320107,03102676A705DCD7A27F8BF3CC56CB51,P0001,E0011,A,A,2024-09-13,,,,1989-08,L001,M,2013-02-18,,,,,,,,,,,,,,,,,,1.0,1.0,P0
320108,A7A5F98FFF3D8C1F629860ED48599001,P0001,E0011,A,A,2024-10-23,,,,1969-07,L001,M,2006-06-27,,,,,,,,,,,,,,,,,,1.0,1.0,P0
320109,42F946E03B42DCF5C31491A08DA4AF58,P0001,E0011,A,A,2024-09-25,,,,1990-09,L001,M,2011-01-04,,,,,,,,,,,,,,,,,,1.0,1.0,P0
320110,F1318C2188C4D7E1507DF60F6948C883,P0001,E0011,A,A,2024-10-23,,,,1966-07,L001,M,2006-06-23,,,,,,,,,,,,,,,,,,1.0,1.0,P0
320111,713E4BD6131A78A1D61C1B0A6079F834,P0001,E0011,A,A,2024-11-01,,,,1970-01,L001,M,2006-06-27,,,,,,,,,,,,,,,,,,1.0,1.0,P0
320112,D453B2D4A685EE6FCAE5481B90780AED,P0001,E0011,A,A,2024-10-31,,,,1986-04,L001,F,2005-03-08,,,,,,,,,,,,,,,,,,1.0,1.0,P0
320113,C872FC34A8472CEE38359B98EAB8FAEA,P0001,E0011,A,A,2024-07-16,,,,1970-08,L001,M,2011-03-09,4.0,20.0,,,,,,,,,,,,,,,,1.0,1.0,P0
320114,A28DFD5436FFCF84990C178EC510F658,P0001,E0011,A,A,2024-07-18,,,,1975-08,L108,M,2017-05-19,,,,,,,,,,,,,,,,,,1.0,1.0,P0
320115,984529E07FB80F8311C7AF28CFB7EBD6,P0001,E0011,A,A,2024-06-03,,,,1974-01,L019,M,2011-04-11,7.0,20.0,,,,,,,,,,,,,,,,1.0,1.0,P0
320116,DA2CA5AAEBC5EA3928CF6DCFBFA5B5D4,P0001,E0011,A,A,2024-12-24,,,,1975-04,L001,M,2011-05-23,,,,,,,,,,,,,,,,,,1.0,1.0,P0
320117,8636D6BE60311C55CC2E1F4BF2F53B4A,P0001,E0011,A,A,2024-11-08,,,,1975-10,L023,M,2006-12-25,,,,,,,,,,,,,,,,,,1.0,1.0,P0
320118,7E0E47B72FFFA14E1CCDE66DC1B3354D,P0001,E0011,A,A,2024-10-24,,,,1971-10,L003,M,2010-10-28,,,,,,,,,,,,,,,,,,1.0,1.0,P0
