cust_no,rank,prod_id,score2
0001666AE2D9564ECF45794F6535DF2F,1,D0001,0.0005412543853068195
0001666AE2D9564ECF45794F6535DF2F,2,C0028,3.2582768081865126e-05
0001666AE2D9564ECF45794F6535DF2F,3,C0045,3.2582768081865126e-05
0001666AE2D9564ECF45794F6535DF2F,4,C0015,3.2582768081865126e-05
0001666AE2D9564ECF45794F6535DF2F,5,C0031,3.2582768081865126e-05
00021058BE12AB46F7303835DBCAEED6,1,C0021,3.2582768081865126e-05
00021058BE12AB46F7303835DBCAEED6,2,C0016,3.2582768081865126e-05
00021058BE12AB46F7303835DBCAEED6,3,C0036,3.2582768081865126e-05
00021058BE12AB46F7303835DBCAEED6,4,C0030,3.2582768081865126e-05
00021058BE12AB46F7303835DBCAEED6,5,C0010,1.297848197661723e-05
00142FB5BD63C72997FDD9A6BC2A6D98,1,D0007,0.0001681700985269747
00142FB5BD63C72997FDD9A6BC2A6D98,2,C0008,5.452567234896461e-05
00142FB5BD63C72997FDD9A6BC2A6D98,3,C0020,4.1941911676110375e-05
00142FB5BD63C72997FDD9A6BC2A6D98,4,C0044,4.1941911676110375e-05
00142FB5BD63C72997FDD9A6BC2A6D98,5,D0014,3.705850947744499e-05
002299DF8DF266835B6D983C4B705F1C,1,D0005,0.0001996929452391259
002299DF8DF266835B6D983C4B705F1C,2,C0044,4.1941911676110375e-05
002299DF8DF266835B6D983C4B705F1C,3,C0020,4.1941911676110375e-05
002299DF8DF266835B6D983C4B705F1C,4,C0033,4.1941911676110375e-05
002299DF8DF266835B6D983C4B705F1C,5,C0026,4.1941911676110375e-05
004515AB3367222FC6CA70590C9FAE44,1,C0011,6.790626909752353e-05
004515AB3367222FC6CA70590C9FAE44,2,C0023,4.2755426699258514e-05
004515AB3367222FC6CA70590C9FAE44,3,C0020,4.2755426699258514e-05
004515AB3367222FC6CA70590C9FAE44,4,C0013,4.2755426699258514e-05
004515AB3367222FC6CA70590C9FAE44,5,C0015,4.2755426699258514e-05
0047BD1EB3B52CB7289F60376110D265,1,D0003,0.000599438245230704
0047BD1EB3B52CB7289F60376110D265,2,D0006,0.00016260607051638866
0047BD1EB3B52CB7289F60376110D265,3,D0011,8.502785156577544e-05
0047BD1EB3B52CB7289F60376110D265,4,C0040,4.1941911676110375e-05
0047BD1EB3B52CB7289F60376110D265,5,A0008,1.0493710352363612e-05
004FFA332615568F4BA4A26340593A7A,1,C0018,3.2582768081865126e-05
004FFA332615568F4BA4A26340593A7A,2,C0031,3.2582768081865126e-05
004FFA332615568F4BA4A26340593A7A,3,D0012,2.9066659520065082e-05
004FFA332615568F4BA4A26340593A7A,4,D0014,2.9066659520065082e-05
004FFA332615568F4BA4A26340593A7A,5,T0001,1.739115042553367e-05
0050FDE865190FBF5EAA6E65B41C507E,1,D0004,0.00042662306727035996
0050FDE865190FBF5EAA6E65B41C507E,2,D0007,0.0001681700985269747
0050FDE865190FBF5EAA6E65B41C507E,3,C0011,7.30259268192548e-05
0050FDE865190FBF5EAA6E65B41C507E,4,C0008,5.452567234896461e-05
0050FDE865190FBF5EAA6E65B41C507E,5,C0035,4.1941911676110375e-05
0057B90B0587D941816897318DCA99B9,1,C0012,6.365528053224957e-05
0057B90B0587D941816897318DCA99B9,2,C0045,4.1941911676110375e-05
0057B90B0587D941816897318DCA99B9,3,C0029,4.1941911676110375e-05
0057B90B0587D941816897318DCA99B9,4,C0039,4.1941911676110375e-05
0057B90B0587D941816897318DCA99B9,5,C0015,4.1941911676110375e-05
006E6D804CCCBDAADA44899688AF5AC4,1,C0024,4.333494742275118e-05
006E6D804CCCBDAADA44899688AF5AC4,2,C0044,4.333494742275118e-05
006E6D804CCCBDAADA44899688AF5AC4,3,C0018,4.333494742275118e-05
006E6D804CCCBDAADA44899688AF5AC4,4,C0040,4.333494742275118e-05
006E6D804CCCBDAADA44899688AF5AC4,5,C0003,2.6352749941196855e-05
0081B1396CB6D25C18404EF2E69F96AE,1,D0008,5.555395338387759e-05
0081B1396CB6D25C18404EF2E69F96AE,2,D0010,5.555395338387759e-05
0081B1396CB6D25C18404EF2E69F96AE,3,C0029,3.771715408214029e-05
0081B1396CB6D25C18404EF2E69F96AE,4,C0044,3.771715408214029e-05
0081B1396CB6D25C18404EF2E69F96AE,5,C0020,3.771715408214029e-05
00823CF65621F280DFACF97E7643349E,1,D0004,0.00017248300256561582
00823CF65621F280DFACF97E7643349E,2,C0024,3.8632052992786644e-05
00823CF65621F280DFACF97E7643349E,3,C0034,3.8632052992786644e-05
00823CF65621F280DFACF97E7643349E,4,C0045,3.8632052992786644e-05
00823CF65621F280DFACF97E7643349E,5,C0007,3.8022932566727416e-05
0085922E2E898E35532E38A7BD7F9AFF,1,D0003,0.00048679775722343507
0085922E2E898E35532E38A7BD7F9AFF,2,C0030,4.4424038337553225e-05
0085922E2E898E35532E38A7BD7F9AFF,3,C0015,4.4424038337553225e-05
0085922E2E898E35532E38A7BD7F9AFF,4,C0014,4.4424038337553225e-05
0085922E2E898E35532E38A7BD7F9AFF,5,C0035,4.4424038337553225e-05
00D256327E9CB90E55F877F2930B40C0,1,D0003,0.000599438245230704
00D256327E9CB90E55F877F2930B40C0,2,C0019,4.1941911676110375e-05
00D256327E9CB90E55F877F2930B40C0,3,C0015,4.1941911676110375e-05
00D256327E9CB90E55F877F2930B40C0,4,A0009,2.111460728976832e-05
00D256327E9CB90E55F877F2930B40C0,5,C0010,1.4534986478905238e-05
00D933638DD892635F206288F0F6BE8B,1,D0011,8.502785156577544e-05
00D933638DD892635F206288F0F6BE8B,2,C0023,4.1941911676110375e-05
00D933638DD892635F206288F0F6BE8B,3,C0013,4.1941911676110375e-05
00D933638DD892635F206288F0F6BE8B,4,C0043,4.1941911676110375e-05
00D933638DD892635F206288F0F6BE8B,5,C0002,2.3591342263949775e-05
00DFEDDBC9C288D770E73F81C8D478AF,1,C0011,7.30259268192548e-05
00DFEDDBC9C288D770E73F81C8D478AF,2,C0008,5.452567234896461e-05
00DFEDDBC9C288D770E73F81C8D478AF,3,C0024,4.1941911676110375e-05
00DFEDDBC9C288D770E73F81C8D478AF,4,C0030,4.1941911676110375e-05
00DFEDDBC9C288D770E73F81C8D478AF,5,A0023,1.0453807956015517e-05
00E51509D81704C1432945BB9F7AC683,1,C0012,6.488992575161891e-05
00E51509D81704C1432945BB9F7AC683,2,C0033,4.2755426699258514e-05
00E51509D81704C1432945BB9F7AC683,3,C0022,4.2755426699258514e-05
00E51509D81704C1432945BB9F7AC683,4,C0023,4.2755426699258514e-05
00E51509D81704C1432945BB9F7AC683,5,D0014,3.272892026621565e-05
00F11AE9B5CC14D6002079BED1EB5E2E,1,C0034,4.2755426699258514e-05
00F11AE9B5CC14D6002079BED1EB5E2E,2,C0044,4.2755426699258514e-05
00F11AE9B5CC14D6002079BED1EB5E2E,3,C0043,4.2755426699258514e-05
00F11AE9B5CC14D6002079BED1EB5E2E,4,C0027,4.2755426699258514e-05
00F11AE9B5CC14D6002079BED1EB5E2E,5,C0006,2.344837298794179e-05
0116F015A5AB0DA217304361A0C45100,1,C0012,4.945113872239866e-05
0116F015A5AB0DA217304361A0C45100,2,C0029,3.2582768081865126e-05
0116F015A5AB0DA217304361A0C45100,3,C0037,3.2582768081865126e-05
0116F015A5AB0DA217304361A0C45100,4,C0042,3.2582768081865126e-05
0116F015A5AB0DA217304361A0C45100,5,C0028,3.2582768081865126e-05
0117B15B3F2A385C4D0713F5A3826CC9,1,C0041,4.1941911676110375e-05
0117B15B3F2A385C4D0713F5A3826CC9,2,C0044,4.1941911676110375e-05
0117B15B3F2A385C4D0713F5A3826CC9,3,C0021,4.1941911676110375e-05
