cust_no,recommended_products
0001666AE2D9564ECF45794F6535DF2F,"D0001,C0028,C0045,C0015,C0031"
00021058BE12AB46F7303835DBCAEED6,"C0021,C0016,C0036,C0030,C0010"
00142FB5BD63C72997FDD9A6BC2A6D98,"D0007,C0008,C0020,C0044,D0014"
002299DF8DF266835B6D983C4B705F1C,"D0005,C0044,C0020,C0033,C0026"
004515AB3367222FC6CA70590C9FAE44,"C0011,C0023,C0020,C0013,C0015"
0047BD1EB3B52CB7289F60376110D265,"D0003,D0006,D0011,C0040,A0008"
004FFA332615568F4BA4A26340593A7A,"C0018,C0031,D0012,D0014,T0001"
0050FDE865190FBF5EAA6E65B41C507E,"D0004,D0007,C0011,C0008,C0035"
0057B90B0587D941816897318DCA99B9,"C0012,C0045,C0029,C0039,C0015"
006E6D804CCCBDAADA44899688AF5AC4,"C0024,C0044,C0018,C0040,C0003"
0081B1396CB6D25C18404EF2E69F96AE,"D0008,D0010,C0029,C0044,C0020"
00823CF65621F280DFACF97E7643349E,"D0004,C0024,C0034,C0045,C0007"
0085922E2E898E35532E38A7BD7F9AFF,"D0003,C0030,C0015,C0014,C0035"
00D256327E9CB90E55F877F2930B40C0,"D0003,C0019,C0015,A0009,C0010"
00D933638DD892635F206288F0F6BE8B,"D0011,C0023,C0013,C0043,C0002"
00DFEDDBC9C288D770E73F81C8D478AF,"C0011,C0008,C0024,C0030,A0023"
00E51509D81704C1432945BB9F7AC683,"C0012,C0033,C0022,C0023,D0014"
00F11AE9B5CC14D6002079BED1EB5E2E,"C0034,C0044,C0043,C0027,C0006"
0116F015A5AB0DA217304361A0C45100,"C0012,C0029,C0037,C0042,C0028"
0117B15B3F2A385C4D0713F5A3826CC9,"C0041,C0044,C0021,C0030,C0022"
012B3194FB71ECFAEE78D7B70151EE13,"D0003,C0021,C0039,C0041,C0016"
012EA6AC5643CBB7FA2512BE619FD799,"C0040,C0022,C0005,C0002,A0039"
014AE5738F4EB010720D63FB426DE94C,"D0011,D0009,D0014,C0039,C0019"
01696146569726EB1CE0A89E6812BD2A,"D0003,D0004,D0006,D0002,D0005"
